"","Artemis","Novum","BestValue","Supermarket","PainAway"
"Explanator 1 (regular_user), mean when alt is chosen:",0.315,0.3199,0.4329,0.4417,0.4387
"Explanator 1 (regular_user), mean when alt is not chosen:",0.3877,0.368,0.3364,0.3345,0.334
"Explanator 1 (regular_user), t-test (mean if chosen - mean if not chosen)",-6.94,-4.48,5.8,6.82,5.43
"Explanator 2 (university_educated), mean when alt is chosen:",0.3698,0.3696,0.4376,0.4482,0.4813
"Explanator 2 (university_educated), mean when alt is not chosen:",0.4174,0.4132,0.3792,0.3834,0.3861
"Explanator 2 (university_educated), t-test (mean if chosen - mean if not chosen)",-4.42,-3.95,3.49,4.09,4.89
"Explanator 3 (over_50), mean when alt is chosen:",0.4119,0.4103,0.3437,0.3325,0.328
"Explanator 3 (over_50), mean when alt is not chosen:",0.3672,0.3791,0.3993,0.3924,0.3988
"Explanator 3 (over_50), t-test (mean if chosen - mean if not chosen)",4.15,2.81,-3.44,-3.94,-3.84
